Instituição;Código;TCB;TD;TC;SR;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BCO DAYCOVAL S.A - PRUDENCIAL;1.000.081.744;b1;C;2;S3;SAO PAULO;SP;03/2026;24.847.067;81.032;1.059.392;2.922.885;5.669.128;3.309.828;2.345.721;0;15.387.987;20.775;50.406;74.419;72.311;12.352;1.995;0;232.259;145.877;595.880;1.348.275;1.736.771;221.386;2.150;0;4.050.339;332;2.542;7.840;17.213;12.568;25.983;3.025;69.502;180.914;1.049.289;244.423;597.837;509.383;197.392;0;2.779.238;0;199;350;847;168;0;0;1.563;7.132;696.543;546.192;604.108;261.954;184.782;17.261;2.317.972;8.207
MERCANTIL DO BRASIL - PRUDENCIAL;1.000.080.123;b1;C;2;S3;BELO HORIZONTE;MG;03/2026;24.226.100;118.826;1.559.740;4.069.077;6.385.359;2.862.565;1.644.204;0;16.639.772;255.931;1.208.022;2.356.384;1.600.778;317.541;114.591;1;5.853.247;0;5;7;0;0;0;0;12;0;1.389;4.029;9.815;8.581;15.381;1.039;40.235;63.036;272.289;80.998;31.580;196.716;938.286;0;1.582.904;0;0;0;0;0;0;0;0;37.990;33.819;30.726;6.854;492;50;0;109.930;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1.000.081.249;b1;I;1;S3;BELEM;PA;03/2026;23.695.958;203;1.083;2.518;2.472;193;16;0;6.484;184.375;210.748;677.432;280.821;40.499;20.943;27.642;1.442.459;7.331;12.310;43.517;67.528;23.448;120;0;154.254;0;0;0;0;0;0;0;0;14;135;100;3;0;0;0;251;1.032.751;3.023.375;5.282.528;6.658.203;2.877.339;2.336.531;483.671;21.694.398;69.055;146.716;114.058;33.354;16.394;14.946;3.587;398.111;0
PORTO SEGURO - PRUDENCIAL;1.000.080.642;n1;C;2;S3;SAO PAULO;SP;03/2026;21.815.598;9.716;15.305;35.246;39.532;4.664;170;0;104.633;44.753;90.576;147.725;31.587;4.951;53;0;319.644;38.575;117.700;262.105;290.021;28.152;4;0;736.556;0;0;0;0;0;0;0;0;2.713.961;9.991.127;6.203.806;628.376;141.342;439;0;19.679.051;0;0;0;0;0;0;0;0;27.088;156.174;368.241;393.745;30.466;1;0;975.714;0
BMG - PRUDENCIAL;1.000.080.178;b1;C;2;S3;SAO PAULO;SP;03/2026;21.630.667;44.580;499.738;1.273.508;1.792.359;759.031;390.309;2;4.759.526;269.621;642.119;792.148;265.983;36.298;23.610;0;2.029.779;11;3;10;12;0;0;0;35;0;0;0;0;0;0;0;0;422.063;2.113.655;1.269.431;3.816.343;4.714.147;1.293.622;152.239;13.781.501;0;0;0;0;0;0;0;0;94;120;58.528;491;185;0;0;59.419;1.000.407
XP - PRUDENCIAL;1.000.082.475;b1;C;2;S2;RIO DE JANEIRO;RJ;03/2026;21.174.106;0;348;1.269;1.701;158;0;0;3.477;40.912;1.064.726;3.836.505;5.415.956;1.128.288;233.404;0;11.719.791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166.852;6.291.940;2.703.419;56.211;0;410;0;9.218.832;0;0;0;0;0;0;0;0;2.310;11.540;13.736;83.647;29.135;63.826;18.652;222.846;9.160
BCO DO EST. DO PA S.A. - PRUDENCIAL;1.000.081.586;b1;I;1;S3;BELEM;PA;03/2026;14.797.635;40.385;547.828;2.044.960;3.599.062;2.150.956;2.875.927;429;11.259.547;48.909;312.321;592.514;359.763;58.139;11.652;0;1.383.298;0;107;441;879;522;135;0;2.084;860;37.802;111.277;254.588;200.624;513.529;164.076;1.282.756;70.545;123.734;42.603;1.824;0;0;0;238.706;10.490;3.147;28.041;28.933;9.772;11.337;0;91.721;16.343;43.539;105.731;171.162;80.647;117.159;4.942;539.523;0
STELLANTIS - PRUDENCIAL;1.000.087.298;b2;C;3;S3;SAO PAULO;SP;03/2026;14.725.477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57.745;1.675.600;4.650.782;6.735.370;1.554.254;50.657;0;14.724.408;0;0;0;0;0;0;0;0;252;593;222;2;0;0;0;1.070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1.000.081.407;b2;I;3;S3;CURITIBA;PR;03/2026;13.434.903;0;0;0;0;0;0;0;0;2.900;13.333;32.663;41.398;7.110;2;0;97.407;13.028;29.914;74.932;118.991;37.449;62;0;274.376;0;0;0;0;0;0;0;0;4.553;7.505;7.142;0;0;0;0;19.199;701.063;2.803.645;1.337.110;4.965.972;2.234.918;964.167;0;13.006.875;1.661;30.611;3.899;874;0;0;0;37.045;0
PINE - PRUDENCIAL;1.000.080.374;b1;C;2;S3;SAO PAULO;SP;03/2026;11.902.180;167.403;1.661.432;3.168.690;3.484.821;1.287.122;429.747;0;10.199.215;454;61.210;146.079;211.738;77.493;42.163;0;539.137;0;0;0;0;0;0;0;0;591;3.628;12.689;8.519;4.868;2.912;0;33.207;27.984;196.654;44.954;147.276;187.872;343.937;0;948.678;0;0;0;0;0;0;0;0;267;2.438;19.427;49.830;56.748;53.234;0;181.943;0
